len	idea	target	title
8	Pixel screening based intermediate correction	blind deblurring	Pixel screening based intermediate correction for blind deblurring
9			When Does Contrastive Visual Representation Learning Work? 1-10
11	Noisy Labels	Large-Scale Pre-training for Person Re-identification	Large-Scale Pre-training for Person Re-identification with Noisy Labels
7			Clipped Hyperbolic Classifiers Are Super-Hyperbolic Classifiers
9	Dimensionality Reduction and Visualization	Hyperbolic Data	CO-SNE: Dimensionality Reduction and Visualization for Hyperbolic Data
5			Efficient Deep Embedded Subspace Clustering
10			Noise Is Also Useful: Negative Correlation-Steered Latent Contrastive Learning
6	Active Learning	Open-set Annotation	Active Learning for Open-set Annotation
9			Understanding and Increasing Efficiency of Frank-Wolfe Adversarial Training
9	Robust Optimization as Data Augmentation	Large-scale Graphs	Robust Optimization as Data Augmentation for Large-scale Graphs
12	A Re-Balancing Strategy	Class-Imbalanced Classification Based on Instance Difficulty	A Re-Balancing Strategy for Class-Imbalanced Classification Based on Instance Difficulty
13	Margin-based Label Smoothing	Network Calibration	The Devil is in the Margin: Margin-based Label Smoothing for Network Calibration
13			Towards Better Plasticity-Stability Trade-off in Incremental Learning: A Simple Linear Connector
10	Gradient Coreset based Replay Buffer Selection	Continual Learning	GCR: Gradient Coreset based Replay Buffer Selection for Continual Learning
11	Full Experience Replay for Continual Learning	Learning Bayesian Sparse Networks	Learning Bayesian Sparse Networks with Full Experience Replay for Continual Learning
12	A variational Bayesian method	similarity learning in non-rigid image registration	A variational Bayesian method for similarity learning in non-rigid image registration
10	Jointly Optimizing Neural Architecture and Weights	Learning to Learn	Learning to Learn by Jointly Optimizing Neural Architecture and Weights
6	Learning to Prompt	Continual Learning	Learning to Prompt for Continual Learning
7	Meta-attention	ViT-backed Continual Learning	Meta-attention for ViT-backed Continual Learning
7	Transformers	Multi-Frame Self-Supervised Depth	Multi-Frame Self-Supervised Depth with Transformers
6	Lifelong Vision Transformer	Continual Learning	Continual Learning with Lifelong Vision Transformer
12	Rethinking Bayesian Deep Learning Methods	Semi-Supervised Volumetric Medical Image Segmentation	Rethinking Bayesian Deep Learning Methods for Semi-Supervised Volumetric Medical Image Segmentation
8	Revisiting Random Channel Pruning	Neural Network Compression	Revisiting Random Channel Pruning for Neural Network Compression
16	View Increase	Reducing the Risk of Clustering Performance Degradation Caused	Deep Safe Multi-view Clustering: Reducing the Risk of Clustering Performance Degradation Caused by View Increase
9	Hypergraph-Induced Semantic Tuplet Loss	Deep Metric Learning	Hypergraph-Induced Semantic Tuplet Loss for Deep Metric Learning
9	Neural Networks	Towards Robust and Reproducible Active Learning	Towards Robust and Reproducible Active Learning using Neural Networks
9	Generative Models	Non-Iterative Recovery from Nonlinear Observations	Non-Iterative Recovery from Nonlinear Observations using Generative Models
10	Gaussian Process Modeling of Approximate Inference Errors	Variational Autoencoders	Gaussian Process Modeling of Approximate Inference Errors for Variational Autoencoders
8			Robust Combination of Distributed Gradients Under Adversarial Perturbations
8			Do learned representations respect causal relationships? 264-274
12	How Much More Data Do I Need? Estimating Requirements	Downstream Tasks	How Much More Data Do I Need? Estimating Requirements for Downstream Tasks
12	Globally-Optimized Oblique Trees	Pushing the Envelope of Gradient Boosting Forests	Pushing the Envelope of Gradient Boosting Forests via Globally-Optimized Oblique Trees
4			Contrastive Test-Time Adaptation
9	Shape Priors	3D Completion, Reconstruction and Generation	AutoSDF: Shape Priors for 3D Completion, Reconstruction and Generation
7	Noisy Labels	Selective-Supervised Contrastive Learning	Selective-Supervised Contrastive Learning with Noisy Labels
12	Rectifying Membrane Potential Distribution	Directly Training Spiking Neural Networks	RecDis-SNN: Rectifying Membrane Potential Distribution for Directly Training Spiking Neural Networks
9	Hierarchical Nearest Neighbor Graph Embedding	Efficient Dimensionality Reduction	Hierarchical Nearest Neighbor Graph Embedding for Efficient Dimensionality Reduction
11	Noisy Labels	Scalable Penalized Regression for Noise Detection in Learning	Scalable Penalized Regression for Noise Detection in Learning with Noisy Labels
10	Nested Hyperbolic Spaces	Dimensionality Reduction and Hyperbolic NN Design	Nested Hyperbolic Spaces for Dimensionality Reduction and Hyperbolic NN Design
7			Learning Structured Gaussians to Approximate Deep Ensembles
8	Causal Invariant Transformations	Out-of-distribution Generalization	Out-of-distribution Generalization with Causal Invariant Transformations
4			Split Hierarchical Variational Compression
6	Depthwise Quantization	Implicit Feature Decoupling	Implicit Feature Decoupling with Depthwise Quantization
8	Statistical Testing	Understanding Uncertainty Maps in Vision	Understanding Uncertainty Maps in Vision with Statistical Testing
8	A Hybrid Quantum-Classical Algorithm	Robust Fitting	A Hybrid Quantum-Classical Algorithm for Robust Fitting
11	A Scalable Combinatorial Solver	Elastic Geometrically Consistent 3D Shape Matching	A Scalable Combinatorial Solver for Elastic Geometrically Consistent 3D Shape Matching
6			FastDOG: Fast Discrete Optimization on GPU
11	Parametric Non-uniform Mixed Precision Quantization	Data-Free Network Compression	Data-Free Network Compression via Parametric Non-uniform Mixed Precision Quantization
11			AdaSTE: An Adaptive Straight-Through Estimator to Train Binary Neural Networks
7	Geometric Latent Augmentation	Shape Spaces	GLASS: Geometric Latent Augmentation for Shape Spaces
12	the Additive Noise Annealing Algorithm	Training Quantised Neural Networks	Training Quantised Neural Networks with STE Variants: the Additive Noise Annealing Algorithm
9			AME: Attention and Memory Enhancement in Hyper-Parameter Optimization
8	Variational Forms	Efficient Maximal Coding Rate Reduction	Efficient Maximal Coding Rate Reduction by Variational Forms
7	A Unified Framework	Implicit Sinkhorn Differentiation	A Unified Framework for Implicit Sinkhorn Differentiation
9	Linear Cost	Computing Wasserstein-$p$ Distance Between Images	Computing Wasserstein-$p$ Distance Between Images with Linear Cost
10	An Iterative Quantum Approach	Transformation Estimation from Point Sets	An Iterative Quantum Approach for Transformation Estimation from Point Sets
12	Culpability-Ranked Features	Improving Domain Generalization of Deep Neural Nets	BoosterNet: Improving Domain Generalization of Deep Neural Nets using Culpability-Ranked Features
7			Pooling Revisited: Your Receptive Field is Suboptimal
16	A Recycling Max Pooling Module	3D Point Cloud Analysis	Why Discard if You can Recycle?: A Recycling Max Pooling Module for 3D Point Cloud Analysis
3			Online Convolutional Reparameterization
8	Re-parameterized Locality	Hierarchical Vision MLP	RepMLPNet: Hierarchical Vision MLP with Re-parameterized Locality
7	Dynamic Re-parameterization	Bootstrapping Training	DyRep: Bootstrapping Training with Dynamic Re-parameterization
10	Sparsity Can Uncover the Trojan Attack Trigger	Free	Quarantine: Sparsity Can Uncover the Trojan Attack Trigger for Free
6	Partial Differential Equations	Condensing CNNs	Condensing CNNs with Partial Differential Equations
5			Deep Equilibrium Optical Flow Estimation
7	Frame Averaging	Equivariant Shape Space Learning	Frame Averaging for Equivariant Shape Space Learning
4			Dual-Generator Face Reenactment
7			Convolution of Convolution: Let Kernels Spatially Collaborate
10	Latent Shifts and Stereo Attention	Stereo Image Compression	SASIC: Stereo Image Compression with Latent Shifts and Stereo Attention
10	Ray-Aligned Depth Update Convolutions	ToF Data Denoising	RADU: Ray-Aligned Depth Update Convolutions for ToF Data Denoising
8	Co-domain Symmetry	Complex-Valued Deep Learning	Co-domain Symmetry for Complex-Valued Deep Learning
14			Paramixer: Parameterizing Mixing Links in Sparse Factors Works Better than Dot-Product Self-Attention
8	Mimicking then Replacing	Compressing Models	Compressing Models with Few Samples: Mimicking then Replacing
