len	idea	target	title
8	Cross-Modal Embeddings.	Discovering Systematic Errors	Domino: Discovering Systematic Errors with Cross-Modal Embeddings.
7			Natural Language Descriptions of Deep Visual Features.
13	A New Approach	Model Ownership Verification and Applicability Authorization.	Non-Transferable Learning: A New Approach for Model Ownership Verification and Applicability Authorization.
7	Neural Structured Prediction	Inductive Node Classification.	Neural Structured Prediction for Inductive Node Classification.
12			A New Perspective on "How Graph Neural Networks Go Beyond Weisfeiler-Lehman?".
11	Tight Convergence Bounds and Beyond.	Minibatch vs Local SGD	Minibatch vs Local SGD with Shuffling: Tight Convergence Bounds and Beyond.
17			The Hidden Convex Optimization Landscape of Regularized Two-Layer ReLU Networks: an Exact Characterization of Optimal Solutions.
8	Multistep Inverse Dynamics.	Provably Filtering Exogenous Distractors	Provably Filtering Exogenous Distractors using Multistep Inverse Dynamics.
3			Bootstrapped Meta-Learning.
9			Coordination Among Neural Modules Through a Shared Global Workspace.
8	Data-Efficient Graph Grammar Learning	Molecular Generation.	Data-Efficient Graph Grammar Learning for Molecular Generation.
5			Poisoning and Backdooring Contrastive Learning.
13			Neural Collapse Under MSE Loss: Proximity to and Dynamics on the Central Path.
6	Weighted Training	Cross-Task Learning.	Weighted Training for Cross-Task Learning.
15	applications to neural data.	control-based learning of input-driven dynamics	iLQR-VAE : control-based learning of input-driven dynamics with applications to neural data.
7	Extending the WILDS Benchmark	Unsupervised Adaptation.	Extending the WILDS Benchmark for Unsupervised Adaptation.
9	Asymmetry Learning	Counterfactually-invariant Classification in OOD Tasks.	Asymmetry Learning for Counterfactually-invariant Classification in OOD Tasks.
9	Measuring Differences that Affect Decision Making.	Comparing Distributions	Comparing Distributions by Measuring Differences that Affect Decision Making.
10	Hierarchical Modeling.	Detailed Control of Musical Performance	MIDI-DDSP: Detailed Control of Musical Performance via Hierarchical Modeling.
9	Shared Structure Modeling.	Unsupervised Vision-Language Grammar Induction	Unsupervised Vision-Language Grammar Induction with Shared Structure Modeling.
8	Contrastive Label Disambiguation	Partial Label Learning.	PiCO: Contrastive Label Disambiguation for Partial Label Learning.
13	Low-Complexity Pyramidal Attention	Long-Range Time Series Modeling and Forecasting.	Pyraformer: Low-Complexity Pyramidal Attention for Long-Range Time Series Modeling and Forecasting.
8			Expressiveness and Approximation Properties of Graph Neural Networks.
10			Filtered-CoPhy: Unsupervised Learning of Counterfactual Physics in Pixel Space.
7			BEiT: BERT Pre-Training of Image Transformers.
11			Fine-Tuning can Distort Pretrained Features and Underperform Out-of-Distribution.
8			StyleAlign: Analysis and Applications of Aligned StyleGAN Models.
11	Generative Modeling of Feature Incompletion.	Variational Inference for Discriminative Learning	Variational Inference for Discriminative Learning with Generative Modeling of Feature Incompletion.
8	Structured State Spaces.	Efficiently Modeling Long Sequences	Efficiently Modeling Long Sequences with Structured State Spaces.
9			Large Language Models Can Be Strong Differentially Private Learners.
9	A Geometric Diffusion Model	Molecular Conformation Generation.	GeoDiff: A Geometric Diffusion Model for Molecular Conformation Generation.
