len	idea	target	title
7	Discrete Walk-Jump Sampling	Protein Discovery	Protein Discovery with Discrete Walk-Jump Sampling
12	A Framework	Systematic Validation of Uncertainty Estimation in Semantic Segmentation	ValUES: A Framework for Systematic Validation of Uncertainty Estimation in Semantic Segmentation
8			ClimODE: Climate Forecasting With Physics-informed Neural ODEs
7			Batched Low-Rank Adaptation of Foundation Models
11	Nonnegative Low-rank Semidefinite Programming	Statistically Optimal $K$-means Clustering	Statistically Optimal $K$-means Clustering via Nonnegative Low-rank Semidefinite Programming
12	Adaptive KV Cache Compression	LLMs	Model Tells You What to Discard: Adaptive KV Cache Compression for LLMs
11			Quick-Tune: Quickly Learning Which Pretrained Model to Finetune and How
6	Phase Stochastic Bridge	Generative Modeling	Generative Modeling with Phase Stochastic Bridge
9	Large Reconstruction Model	Single Image to 3D	LRM: Large Reconstruction Model for Single Image to 3D
5			Learning Interactive Real-World Simulators
13	a Temporally-Correlated Noise Prior	Diffusion Models	How I Warped Your Noise: a Temporally-Correlated Noise Prior for Diffusion Models
6			Robust agents learn causal world models
10			ReLU Strikes Back: Exploiting Activation Sparsity in Large Language Models
10	Execution Decomposition	Compositional Generalization in Neural Program Synthesis	ExeDec: Execution Decomposition for Compositional Generalization in Neural Program Synthesis
10	Graph Neural Networks	Learning Equivariant Representations of Neural Networks	Graph Neural Networks for Learning Equivariant Representations of Neural Networks
10	Pre-Training Goal-based Models	Sample-Efficient Reinforcement Learning	Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning
11	Monte Carlo guided Denoising Diffusion models	Bayesian linear inverse problems.	Monte Carlo guided Denoising Diffusion models for Bayesian linear inverse problems.
11	An Analytical Solution to Gauss-Newton Loss	Direct Image Alignment	An Analytical Solution to Gauss-Newton Loss for Direct Image Alignment
6			Unprocessing Seven Years of Algorithmic Fairness
9	Active Exploration	System Identification in Robotic Manipulation	ASID: Active Exploration for System Identification in Robotic Manipulation
10	Submodular Subset Selection	Fewer Interpretable Region	Less is More: Fewer Interpretable Region via Submodular Subset Selection
8	Finetuning Text-to-Image Diffusion Models	Fairness	Finetuning Text-to-Image Diffusion Models for Fairness
14			Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!
11	Self-Reflection	Learning to Retrieve, Generate, and Critique	Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection
10	Multi-Source Diffusion Models	Simultaneous Music Generation and Separation	Multi-Source Diffusion Models for Simultaneous Music Generation and Separation
12	An Efficient Architecture	Large-Scale Text-to-Image Diffusion Models	Würstchen: An Efficient Architecture for Large-Scale Text-to-Image Diffusion Models
12			Gene Regulatory Network Inference in the Presence of Dropouts: a Causal View
5			Flow Matching on General Geometries
14	Learning to Learn Discrete Functions	Understanding In-Context Learning in Transformers and LLMs	Understanding In-Context Learning in Transformers and LLMs by Learning to Learn Discrete Functions
7			Topological data analysis on noisy quantum computers
9	Small-scale proxies	large-scale Transformer training instabilities	Small-scale proxies for large-scale Transformer training instabilities
10	Stochastic Optimization	Approximating Nash Equilibria in Normal-Form Games	Approximating Nash Equilibria in Normal-Form Games via Stochastic Optimization
8	Metric-Aware Abstraction	Scalable Unsupervised RL	METRA: Scalable Unsupervised RL with Metric-Aware Abstraction
11	Latent Trajectory Learning	Limited Timestamps under Distribution Shift over Time	Latent Trajectory Learning for Limited Timestamps under Distribution Shift over Time
13	Hypothesis Refinement	Testing Inductive Reasoning Capabilities of Language Models	Phenomenal Yet Puzzling: Testing Inductive Reasoning Capabilities of Language Models with Hypothesis Refinement
11			Predictive auxiliary objectives in deep RL mimic learning in the brain
15			The mechanistic basis of data dependence and abrupt learning in an in-context classification task
12			LLMCarbon: Modeling the End-to-End Carbon Footprint of Large Language Models
5	Diffusion Model	Dense Matching	Diffusion Model for Dense Matching
14			Is ImageNet worth 1 video? Learning strong image encoders from 1 long unlabelled video
12	Plug-in Specialized Language Models	Filling LLMs' Knowledge Gaps	Knowledge Card: Filling LLMs' Knowledge Gaps with Plug-in Specialized Language Models
6	Improved Techniques	Training Consistency Models	Improved Techniques for Training Consistency Models
5			Lipschitz Singularities in Diffusion Models
9	Meta Programming	A Multi-Agent Collaborative Framework	MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework
10			SWE-bench: Can Language Models Resolve Real-world Github Issues?
9	Generative Gaussian Splatting	Efficient 3D Content Creation	DreamGaussian: Generative Gaussian Splatting for Efficient 3D Content Creation
12	Variance Reduction	Implicitly Enhancing Online Hessian Approximation	Meta Continual Learning Revisited: Implicitly Enhancing Online Hessian Approximation via Variance Reduction
8	Neural Fine-Tuning Search	Few-Shot Learning	Neural Fine-Tuning Search for Few-Shot Learning
14			Never Train from Scratch: Fair Comparison of Long-Sequence Models Requires Data-Driven Priors
8	Learning Energy Decompositions	Partial Inference in GFlowNets	Learning Energy Decompositions for Partial Inference in GFlowNets
7			Amortizing intractable inference in large language models
10	Bayesian Flow Networks	Unified Generative Modeling of 3D Molecules	Unified Generative Modeling of 3D Molecules with Bayesian Flow Networks
10	LoRA-Fine-Tuning-aware Quantization	Large Language Models	LoftQ: LoRA-Fine-Tuning-aware Quantization for Large Language Models
10			Efficient Episodic Memory Utilization of Cooperative Multi-Agent Reinforcement Learning
7			Improving Convergence and Generalization Using Parameter Symmetries
10			MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts
9			Proving Test Set Contamination in Black-Box Language Models
8	Dependent Leverage Score Sampling	Improved Active Learning	Improved Active Learning via Dependent Leverage Score Sampling
8			GraphGuard: Provably Robust Graph Classification against Adversarial Attacks
10			Towards a statistical theory of data selection under weak supervision
9	A Quantitative Framework	GNN Expressiveness	Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness
15	Influence-Based Data Selection	"What Data Benefits My Classifier?" Enhancing Model Performance and Interpretability	"What Data Benefits My Classifier?" Enhancing Model Performance and Interpretability through Influence-Based Data Selection
12			On the Humanity of Conversational AI: Evaluating the Psychological Portrayal of LLMs
13	A Data-centric Perspective	Deep Partial-label Learning	Candidate Label Set Pruning: A Data-centric Perspective for Deep Partial-label Learning
3			Multisize Dataset Condensation
8	Ray Diffusion	Pose Estimation	Cameras as Rays: Pose Estimation via Ray Diffusion
10	Unbiased Dynamic Data Pruning	Lossless Training Speed Up	InfoBatch: Lossless Training Speed Up by Unbiased Dynamic Data Pruning
9	Self-Repellent Random Walks	Accelerating Distributed Stochastic Optimization	Accelerating Distributed Stochastic Optimization via Self-Repellent Random Walks
10			How Well Do Supervised Models Transfer to 3D Image Segmentation?
11			Ghost on the Shell: An Expressive Representation of General 3D Shapes
10			Generalization in diffusion models arises from geometry-adaptive harmonic representations
