len	idea	target	title
7			PAC-Bayesian Bounds on Rate-Efficient Classifiers
8			Sharp-MAML: Sharpness-Aware Model-Agnostic Meta Learning
15	An Initial Alignment between Neural Network and Target is Needed	Gradient Descent to Learn	An Initial Alignment between Neural Network and Target is Needed for Gradient Descent to Learn
6	Active Sampling	Min-Max Fairness	Active Sampling for Min-Max Fairness
8	conceptual counterfactual explanations	Meaningfully debugging model mistakes	Meaningfully debugging model mistakes using conceptual counterfactual explanations
3			Batched Dueling Bandits
11			Hierarchical Shrinkage: Improving the accuracy and interpretability of tree-based models
8			Deep equilibrium networks are sensitive to initialization statistics
12	Learning of Cluster-based Feature Importance	Electronic Health Record Time-series	Learning of Cluster-based Feature Importance for Electronic Health Record Time-series
12			On the Convergence of the Shapley Value in Parametric Bayesian Learning Games
5	Individual Preference Stability	Clustering	Individual Preference Stability for Clustering
7			Understanding the unstable convergence of gradient descent
8	Minimum Cost Intervention Design	Causal Effect Identification	Minimum Cost Intervention Design for Causal Effect Identification
15	How Faithful is your Synthetic Data? Sample-level Metrics	Evaluating and Auditing Generative Models	How Faithful is your Synthetic Data? Sample-level Metrics for Evaluating and Auditing Generative Models
10	A Natural Actor-Critic Framework	Zero-Sum Markov Games	A Natural Actor-Critic Framework for Zero-Sum Markov Games
11			Deploying Convolutional Networks on Untrusted Platforms Using 2D Holographic Reduced Representations
13	Optimistic Linear Support and Successor Features as a Basis	Optimal Policy Transfer	Optimistic Linear Support and Successor Features as a Basis for Optimal Policy Transfer
4			Structured Stochastic Gradient MCMC
8	Conservative Propagation	Better Explanations	XAI for Transformers: Better Explanations through Conservative Propagation
6			RUMs from Head-to-Head Contests
8	Automaton-augmented Retrieval	Neuro-Symbolic Language Modeling	Neuro-Symbolic Language Modeling with Automaton-augmented Retrieval
11	Multidimensional Adaptation and Performance Guarantees	Minimax Classification under Concept Drift	Minimax Classification under Concept Drift with Multidimensional Adaptation and Performance Guarantees
9	Structured Automatic Differentiation	Scalable First-Order Bayesian Optimization	Scalable First-Order Bayesian Optimization via Structured Automatic Differentiation
9	Public Data-Assisted Mirror Descent	Private Model Training	Public Data-Assisted Mirror Descent for Private Model Training
8			On Last-Iterate Convergence Beyond Zero-Sum Games
5	Multiple Predictions	Online Algorithms	Online Algorithms with Multiple Predictions
5			Learning to Hash Robustly, Guaranteed
4			Set Based Stochastic Subsampling
5			Towards Understanding Sharpness-Aware Minimization
9	Fair and Fast k-Center Clustering	Data Summarization	Fair and Fast k-Center Clustering for Data Summarization
7	Existential Cluster Constraints	Interactive Correlation Clustering	Interactive Correlation Clustering with Existential Cluster Constraints
13	Distribution-Free Uncertainty Quantification and Applications in Imaging	Image-to-Image Regression	Image-to-Image Regression with Distribution-Free Uncertainty Quantification and Applications in Imaging
4			AdaGrad Avoids Saddle Points
14	Almost Dimension-Free Convergence Rate Guarantees	A Universal Black-Box Optimization Method	UnderGrad: A Universal Black-Box Optimization Method with Almost Dimension-Free Convergence Rate Guarantees
10	Adapting the Linearised Laplace Model Evidence	Modern Deep Learning	Adapting the Linearised Laplace Model Evidence for Modern Deep Learning
11	Environment-Adversarial sub-Task Curriculum	Efficient Reinforcement Learning	EAT-C: Environment-Adversarial sub-Task Curriculum for Efficient Reinforcement Learning
4			Online Balanced Experimental Design
13	Variational Architecture Growing	Task-Agnostic Continual Learning based on Bayesian Novelty	VariGrow: Variational Architecture Growing for Task-Agnostic Continual Learning based on Bayesian Novelty
3			Thresholded Lasso Bandit
3			Gradient Based Clustering
11			Understanding Gradient Descent on the Edge of Stability in Deep Learning
11			Private optimization in the interpolation regime: faster rates and hardness results
9	Optimal Algorithms	Mean Estimation under Local Differential Privacy	Optimal Algorithms for Mean Estimation under Local Differential Privacy
7	Side Observations	Asymptotically-Optimal Gaussian Bandits	Asymptotically-Optimal Gaussian Bandits with Side Observations
8	Short-term Resets	Optimal Routing	Congested Bandits: Optimal Routing via Short-term Resets
